Week,Date,TV Time,Opponent,Result,Attendance
1,"September 6, 1998",FOX 1:05 pm MT,at Dallas Cowboys,,"63,602"
2,"September 13, 1998",FOX 1:15 pm MT,at Seattle Seahawks,,"57,678"
3,"September 20, 1998",ESPN 5:15 pm MT,Philadelphia Eagles,,"39,782"
4,"September 27, 1998",FOX 10:00 am MT,at St. Louis Rams,,"55,832"
5,"October 4, 1998",CBS 1:05 pm MT,Oakland Raiders,,"53,240"
6,"October 11, 1998",FOX 1:05 pm MT,Chicago Bears,,"50,495"
7,"October 18, 1998",FOX 10:00 am MT,at New York Giants,,"70,456"
8,Bye,Bye,Bye,Bye,
9,"November 1, 1998",FOX 11:00 am MT,at Detroit Lions,,"66,087"
10,"November 8, 1998",FOX 2:15 pm MT,Washington Redskins,,"45,950"
11,"November 15, 1998",FOX 2:15 pm MT,Dallas Cowboys,,"71,670"
12,"November 22, 1998",FOX 11:00 am MT,at Washington Redskins,,"63,435"
13,"November 29, 1998",FOX 11:00 am MT,at Kansas City Chiefs,,"69,613"
14,"December 6, 1998",FOX 2:15 pm MT,New York Giants,,"46,128"
15,"December 13, 1998",FOX 11:00 am MT,at Philadelphia Eagles,,"62,176"
16,"December 20, 1998",FOX 2:05 pm MT,New Orleans Saints,,"51,617"
17,"December 27, 1998",CBS 2:05 pm MT,San Diego Chargers,,"71,670"
