Week,Date,Kickoff,Opponent,Results Final score,Results Team record,Game site,Attendance
1,"Saturday, April 13",7:00 p.m.,at Rhein Fire,,,Rheinstadion,"32,092"
2,"Saturday, April 20",7:00 p.m.,London Monarchs,,,Waldstadion,"34,186"
3,"Sunday, April 28",6:00 p.m.,at Barcelona Dragons,,,Estadi Olimpic de Montjuïc,"17,503"
4,"Sunday, May 5",7:00 p.m.,Amsterdam Admirals,,,Waldstadion,"28,627"
5,"Saturday, May 11",7:00 p.m.,Scottish Claymores,,,Waldstadion,"32,126"
6,"Sunday, May 19",3:00 p.m.,at London Monarchs,,,White Hart Lane,"10,764"
7,"Sunday, May 26",3:00 p.m.,at Scottish Claymores,,,Murrayfield Stadium,"13,116"
8,"Saturday, June 1",7:00 p.m.,Rhein Fire,,,Waldstadion,"38,798"
9,"Saturday, June 8",7:00 p.m.,Barcelona Dragons,,,Waldstadion,"33,115"
10,"Saturday, June 15",6:30 p.m.,at Amsterdam Admirals,,,Olympisch Stadion,"14,062"
11,"Sunday, June 23",6:00 p.m.,at Scottish Claymores,,,Murrayfield Stadium,"38,982"
